video_urls,title,thumbnail_url,time_of_posting,views
https://www.youtube.com/watch?v=jXAb1evxaJc,Big Announcement for Gulf Region Aspirants 🔥| Physics Wallah Gulf Channel Trailer🚀,https://i.ytimg.com/vi/jXAb1evxaJc/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDmeiri9cimEVHPiAh5ootidgIzIg,5 days ago,52557
https://www.youtube.com/watch?v=2dn7XMxRtPE,Arjuna JEE v/s Arjuna NEET 🏏- Class 11th Faculties ka Cricket Match 🔥,https://i.ytimg.com/vi/2dn7XMxRtPE/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCNuCKbYYT7Bqo7b2xVfh27z3YKMw,7 days ago,248083
https://www.youtube.com/watch?v=Fks4dVnTb5M,How to Study Zoology in Class 11th? Ab Saare Doubts Solve Honge !! 🔥,https://i.ytimg.com/vi/Fks4dVnTb5M/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCHXf5XebQJcUioL-AX9g1ZXcizVQ,2 weeks ago,8987
https://www.youtube.com/watch?v=nIuGXeISbSo,"BIGGEST OFFER For Class - 8th ,9th & 10th Students 🤩 || Grab This Opportunity Now 🔥",https://i.ytimg.com/vi/nIuGXeISbSo/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDnazWdDQJGyaWrFBfL4fojeCtPFg,2 weeks ago,34842
https://www.youtube.com/watch?v=p9pqo970kjw,Launching PW प्रयोगशाला 2.0 🔥 || The Unbeatable is Loading...,https://i.ytimg.com/vi/p9pqo970kjw/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAOxBxNmM_rbpVXQ9jFGTcaP2Dalg,2 weeks ago,30439
https://www.youtube.com/watch?v=L5G-0FbyAsc,UDAAN Hindi Batch 🔥| Class 10th वालों के बच्चें के लिए Surprises 🎉🎉 #3SaalLajawaab,https://i.ytimg.com/vi/L5G-0FbyAsc/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAdyC-5lXf_r6bkEwWQ46yoxdhibA,2 weeks ago,14910
https://www.youtube.com/watch?v=uqDX6hcRf2I,NEEV 2.0 Batch 🔥 | Class 9th वालों के बच्चें के लिए Surprises 🎉🎉 #3SaalLajawaab,https://i.ytimg.com/vi/uqDX6hcRf2I/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLClh4rZkat6-ZrnFmV1r9LfVQIMIQ,2 weeks ago,24314
https://www.youtube.com/watch?v=9ZVfDuqKIQM,How to Study Botany in Class 11th? Ab Saare Doubts Solve Honge !! 🔥,https://i.ytimg.com/vi/9ZVfDuqKIQM/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCnJoDuIK1sTwOwMeVCK0TgqBMqWg,3 weeks ago,14040
https://www.youtube.com/watch?v=1wMGzlQTyeM,How To Prepare For National Science Olympiad? 🔥 || A Complete Guide For Class 9th & 10th Students,https://i.ytimg.com/vi/1wMGzlQTyeM/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCriEk9XKxmE8B9bV2i9bVMSBgSrg,3 weeks ago,45100
https://www.youtube.com/watch?v=ivS0xPAbVUs,How to Study Physics in Class 11th? Ab Saare Numericals Solve Honge !! 🔥,https://i.ytimg.com/vi/ivS0xPAbVUs/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDK11Y9cIabVtUjp1nmjPsbzGvtPQ,3 weeks ago,19994
